BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Frauenstraße,02119,8421000,24,STR,ff,Örtlichkeitsangabe: In Richtung des Frauentors bzw. des Standorts der ehemaligen Kirche „Unsere liebe Frau ennet Feld“,
Frickgasse,02132,8421000,347,STR,?,,
Friedenstraße,02145,8421000,209,STR,,,
Friedhofstraße,02150,8421000,1372,STR,,,
Friedrich-Ebert-Straße,02158,8421000,118,STR,m,,https://de.wikipedia.org/wiki/Friedrich_Ebert
Friedrichsau,02171,8421000,234,STR,m,,https://de.wikipedia.org/wiki/Friedrich_(W%C3%BCrttemberg)
Friedrichsaustraße,02184,8421000,232,STR,?,u,
Friedrichshafener Straße,02187,8421000,954,STR,,,
Fröbelstraße,02190,8421000,1361,STR,?,,
Fuchsweg,02197,8421000,802,STR,,,
Fünf-Bäume-Weg,02205,8421000,778,STR,,,
Fürsteneckerstraße,02210,8421000,422,STR,,,
Fuggerstraße,02213,8421000,1337,STR,,,
Funkenweg,02216,8421000,1646,STR,,,
Furttenbachstraße,02223,8421000,517,STR,,,
Gänslände,02236,8421000,125,STR,,,
Gänswieseweg,02248,8421000,217,STR,,,
Gärtnerweg,02262,8421000,789,STR,,,
Gaisbergweg,02270,8421000,630,STR,,,
Gaisenbergstraße,02275,8421000,204,STR,,,
Galgenbergweg,02288,8421000,417,STR,,,
Galgenfeld,02290,8421000,880,STR,,,
Galli-Schnitzer-Weg,02293,8421000,1187,STR,?,,
Gambrinushof,02295,8421000,1745,STR,?,,
Gartenhalde,02300,8421000,1573,STR,,,
Gartensteige,02310,8421000,1087,STR,,,
Gartenstraße,02312,8421000,162,STR,,,
Gartenweg,02314,8421000,907,STR,,,
Gaugler,02319,8421000,1443,STR,?,,
Gehrnstraße,02324,8421000,1363,STR,?,,
Gehrnweg,02327,8421000,624,STR,?,,
Geigergasse,02340,8421000,367,STR,?,,
Gemeindeplatz,02353,8421000,686,STR,,,
Georg-Elser-Weg,02360,8421000,482,STR,m,,https://de.wikipedia.org/wiki/Georg_Elser
Georgstraße,02366,8421000,427,STR,?,,
Gerbergasse,02379,8421000,44,STR,,,
Gerhart-Hauptmann-Weg,02392,8421000,334,STR,m,,https://de.wikipedia.org/wiki/Gerhart_Hauptmann
Gerokweg,02405,8421000,379,STR,?,,
Geruglet,02406,8421000,1510,STR,?,,
Gersterstraße,02407,8421000,1332,STR,?,,
Gertrud-Beck-Straße,02410,8421000,1792,STR,w,"<strong>Gertrud Beck</strong>, 1915–1994, von 1971–1989 Ulmer Stadträtin",
Gideon-Bacher-Straße,02418,8421000,104,STR,m,,https://de.wikipedia.org/wiki/Gideon_Bacher
Ginsterweg,02427,8421000,1169,STR,?,,
Glasgasse,02431,8421000,60,STR,,,
Gleißelstetten,02444,8421000,835,STR,,,
Glockengasse,02457,8421000,701,STR,,,
Glöcklergraben,02470,8421000,1681,STR,,,
Glöcklerstraße,02483,8421000,55,STR,,,
Gneisenaustraße,02496,8421000,378,STR,,,
Gögglinger Straße,02509,8421000,867,STR,,,
Goerdelerweg,02522,8421000,262,STR,,,
Goethestraße,02535,8421000,161,STR,m,,https://de.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
Graf-Arco-Straße,02561,8421000,591,STR,m,,
Grafensteinerweg,02563,8421000,1796,STR,,,
Greifengasse,02574,8421000,100,STR,,,
Gresenhofgasse,02587,8421000,46,STR,,,
